passer_player_id,name,plays,Outcome
00-0026158,J.Flacco,36,Touchdown
00-0026158,J.Flacco,36,Incompletion
00-0026158,J.Flacco,36,Completion
00-0026158,J.Flacco,36,Incompletion
00-0026158,J.Flacco,36,Completion
00-0026158,J.Flacco,36,Completion
00-0026158,J.Flacco,36,Completion
00-0026158,J.Flacco,36,Touchdown
00-0026158,J.Flacco,36,Sack
00-0026158,J.Flacco,36,Incompletion
00-0026158,J.Flacco,36,Completion
00-0026158,J.Flacco,36,Completion
00-0026158,J.Flacco,36,Incompletion
00-0026158,J.Flacco,36,Incompletion
00-0026158,J.Flacco,36,Incompletion
00-0026158,J.Flacco,36,Incompletion
00-0026158,J.Flacco,36,Sack
00-0026158,J.Flacco,36,Completion
00-0026158,J.Flacco,36,Touchdown
00-0026158,J.Flacco,36,Completion
00-0026158,J.Flacco,36,Completion
00-0026158,J.Flacco,36,Completion
00-0026158,J.Flacco,36,Incompletion
00-0026158,J.Flacco,36,Completion
00-0026158,J.Flacco,36,Touchdown
00-0026158,J.Flacco,36,Incompletion
00-0026158,J.Flacco,36,Completion
00-0026158,J.Flacco,36,Completion
00-0026158,J.Flacco,36,Sack
00-0026158,J.Flacco,36,Scramble
00-0026158,J.Flacco,36,Scramble
00-0026158,J.Flacco,36,Completion
00-0026158,J.Flacco,36,Completion
00-0026158,J.Flacco,36,Touchdown
00-0026158,J.Flacco,36,Incompletion
00-0026158,J.Flacco,36,Interception
00-0026498,M.Stafford,69,Scramble
00-0026498,M.Stafford,69,Completion
00-0026498,M.Stafford,69,Incompletion
00-0026498,M.Stafford,69,Completion
00-0026498,M.Stafford,69,Completion
00-0026498,M.Stafford,69,Incompletion
00-0026498,M.Stafford,69,Completion
00-0026498,M.Stafford,69,Sack
00-0026498,M.Stafford,69,Scramble
00-0026498,M.Stafford,69,Completion
00-0026498,M.Stafford,69,Incompletion
00-0026498,M.Stafford,69,Scramble
00-0026498,M.Stafford,69,Incompletion
00-0026498,M.Stafford,69,Incompletion
00-0026498,M.Stafford,69,Incompletion
00-0026498,M.Stafford,69,Completion
00-0026498,M.Stafford,69,Scramble
00-0026498,M.Stafford,69,Completion
00-0026498,M.Stafford,69,Sack
00-0026498,M.Stafford,69,Incompletion
00-0026498,M.Stafford,69,Sack
00-0026498,M.Stafford,69,Completion
00-0026498,M.Stafford,69,Completion
00-0026498,M.Stafford,69,Incompletion
00-0026498,M.Stafford,69,Sack
00-0026498,M.Stafford,69,Scramble
00-0026498,M.Stafford,69,Touchdown
00-0026498,M.Stafford,69,Scramble
00-0026498,M.Stafford,69,Incompletion
00-0026498,M.Stafford,69,Incompletion
00-0026498,M.Stafford,69,Scramble
00-0026498,M.Stafford,69,Completion
00-0026498,M.Stafford,69,Incompletion
00-0026498,M.Stafford,69,Incompletion
00-0026498,M.Stafford,69,Completion
00-0026498,M.Stafford,69,Completion
00-0026498,M.Stafford,69,Scramble
00-0026498,M.Stafford,69,Completion
00-0026498,M.Stafford,69,Incompletion
00-0026498,M.Stafford,69,Completion
00-0026498,M.Stafford,69,Incompletion
00-0026498,M.Stafford,69,Completion
00-0026498,M.Stafford,69,Incompletion
00-0026498,M.Stafford,69,Scramble
00-0026498,M.Stafford,69,Incompletion
00-0026498,M.Stafford,69,Incompletion
00-0026498,M.Stafford,69,Completion
00-0026498,M.Stafford,69,Completion
00-0026498,M.Stafford,69,Incompletion
00-0026498,M.Stafford,69,Sack
00-0026498,M.Stafford,69,Incompletion
00-0026498,M.Stafford,69,Incompletion
00-0026498,M.Stafford,69,Completion
00-0026498,M.Stafford,69,Completion
00-0026498,M.Stafford,69,Incompletion
00-0026498,M.Stafford,69,Sack
00-0026498,M.Stafford,69,Completion
00-0026498,M.Stafford,69,Touchdown
00-0026498,M.Stafford,69,Completion
00-0026498,M.Stafford,69,Incompletion
00-0026498,M.Stafford,69,Incompletion
00-0026498,M.Stafford,69,Incompletion
00-0026498,M.Stafford,69,Incompletion
00-0026498,M.Stafford,69,Completion
00-0026498,M.Stafford,69,Incompletion
00-0026498,M.Stafford,69,Completion
00-0026498,M.Stafford,69,Sack
00-0026498,M.Stafford,69,Completion
00-0026498,M.Stafford,69,Incompletion
00-0028118,T.Taylor,67,Scramble
00-0028118,T.Taylor,67,Incompletion
00-0028118,T.Taylor,67,Completion
00-0028118,T.Taylor,67,Scramble
00-0028118,T.Taylor,67,Scramble
00-0028118,T.Taylor,67,Completion
00-0028118,T.Taylor,67,Incompletion
